#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

b_linares;Linares;Linares;Linares;;Linares;;;;;;;;;x
b_oringis;Oringi;Oringi;Oringi;;Oringi;;;;;;;;;x
b_castulo;Castulo;Castulo;Castulo;;Castulo;;;;;;;;;x
b_illiturgis;Illiturgis;Illiturgis;Illiturgis;;Illiturgis;;;;;;;;;x
b_valeria;Valeria;Valeria;Valeria;;Valeria;;;;;;;;;x
b_ercavica;Ercavica;Ercavica;Ercavica;;Ercavica;;;;;;;;;x
b_santa_catalina;Santa Catalina;Santa Catalina;Santa Catalina;;Santa Catalina;;;;;;;;;x
b_egelasta;Egelasta;Egelasta;Egelasta;;Egelasta;;;;;;;;;x
b_tortola;Tórtola;Tórtola;Tórtola;;Tórtola;;;;;;;;;x

c_oretania;Oretania;Oretania;Oretania;;Oretania;;;;;;;;;x
c_oretania_adj;Oretanian;Oretanian;Oretanian;;Oretanian;;;;;;;;;x
c_valeria;Valeria;Valeria;Valeria;;Valeria;;;;;;;;;x
c_valeria_adj;Valerian;Valerian;Valerian;;Valerian;;;;;;;;;x

d_aghlan;Aghlan;Aghlan;Aghlan;;Aghlan;;;;;;;;;x
d_aghlan_adj;Aghlani;Aghlani;Aghlani;;Aghlani;;;;;;;;;x
d_anbar;Anbar;Anbar;Anbar;;Anbar;;;;;;;;;x
d_anbar_adj;Anbari;Anbari;Anbari;;Anbari;;;;;;;;;x
d_arcadia;Arcadia;Arcadia;Arcadia;;Arcadia;;;;;;;;;x
d_arcadia_adj;Arcadian;Arcadian;Arcadian;;Arcadian;;;;;;;;;x
d_atlas_mtn;Atlas Mountains;Atlas Mountains;Atlas Mountains;;Atlas Mountains;;;;;;;;;x
d_atlas_mtn_adj;Atlas;Atlas;Atlas;;Atlas;;;;;;;;;x
d_bastetania;Bastetania;Bastetania;Bastetania;;Bastetania;;;;;;;;;x
d_bilbilis;Bilbilis;Bilbilis;Bilbilis;;Bilbilis;;;;;;;;;x
d_bilbilis_adj;Bilbilisine;Bilbilisine;Bilbilisine;;Bilbilisine;;;;;;;;;x
d_caesariense;Caesariense;Caesariense;Caesariense;;Caesariense;;;;;;;;;x
d_caesariense_adj;Caesariense;Caesariense;Caesariense;;Caesariense;;;;;;;;;x
d_cartagena;Cartagena;Cartagena;Cartagena;;Cartagena;;;;;;;;;x
d_cartagena_adj;Cartagenero;Cartagenero;Cartagenero;;Cartagenero;;;;;;;;;x
d_caucasian_albania;Albania;Albania;Albania;;Albania;;;;;;;;;x
d_caucasian_albania_adj;Albanian;Albanian;Albanian;;Albanian;;;;;;;;;x
